lat,lon
-11.769062805555556° S,141.9572635388889° E
-11.772095480555556° S,141.96488655555555° E
-11.770783161111112° S,141.9714707638889° E
-11.768461475° S,141.97585628333334° E
-11.766263463888889° S,141.97864290555555° E
-11.759509577777777° S,141.98962253888888° E
-11.757181922222221° S,142.00216832777778° E
-11.757333333333333° S,142.00666666944446° E
-11.758213005555556° S,142.01344431666666° E
-11.757701994444444° S,142.01781555833333° E
-11.757669944444444° S,142.02302493888888° E
-11.743319491666666° S,142.0502696861111° E
-11.743287030555555° S,142.05906198333332° E
-11.748166669444444° S,142.07003333333333° E
-11.756950002777778° S,142.0728166638889° E
